image name;longitude;lattude;altitude
IMG_0469.tif;39.703214;32.966347;103.00
IMG_0470.tif;39.703135;32.966365;102.33
IMG_0471.tif;39.702895;32.966503;104.67
IMG_0472.tif;39.702809;32.966620;100.83
IMG_0473.tif;39.702732;32.966687;96.50
IMG_0474.tif;39.702653;32.966738;97.17
IMG_0475.tif;39.702556;32.966812;97.00
IMG_0476.tif;39.702438;32.966923;98.00
IMG_0477.tif;39.702371;32.966961;94.67
IMG_0478.tif;39.702118;32.966915;98.50
IMG_0479.tif;39.702054;32.966733;98.33
IMG_0480.tif;39.702170;32.966370;102.67
IMG_0481.tif;39.702450;32.966183;103.33
IMG_0482.tif;39.702766;32.966051;101.67
IMG_0483.tif;39.703135;32.965900;97.67
IMG_0484.tif;39.703486;32.965702;99.67
IMG_0485.tif;39.703759;32.965546;101.50
